Vaqt                 | Harorat (Â°C) | Namlik (%) | Bosim (mm)
-------------------------------------------------------------
12.12.2025 12:51:18  |   21.78        |  59.0       |  763.7
12.12.2025 12:52:38 | 28.07 | 60.7 | 745.6
12.12.2025 12:52:40 | 26.72 | 54.5 | 750.7
12.12.2025 12:52:42 | 29.02 | 63.0 | 758.5
12.12.2025 12:52:44 | 27.27 | 45.2 | 752.9
12.12.2025 12:52:46 | 30.37 | 51.5 | 747.7
12.12.2025 12:52:48 | 30.08 | 47.4 | 759.6
12.12.2025 12:52:50 | 29.65 | 45.0 | 764.9
12.12.2025 12:52:52 | 30.38 | 60.1 | 754.9
12.12.2025 12:52:55 | 20.89 | 55.5 | 753.2
12.12.2025 12:52:57 | 23.95 | 54.6 | 771.7
12.12.2025 12:52:59 | 20.97 | 39.4 | 775.1
12.12.2025 12:53:01 | 22.61 | 35.5 | 754.8
12.12.2025 12:53:03 | 21.35 | 45.3 | 777.7
12.12.2025 12:53:05 | 25.51 | 55.2 | 759.7
12.12.2025 12:53:07 | 31.46 | 58.3 | 743.7
12.12.2025 12:53:09 | 28.12 | 43.8 | 752.5
12.12.2025 12:53:11 | 31.59 | 36.7 | 771.8
12.12.2025 12:53:13 | 20.77 | 54.9 | 746.2
12.12.2025 12:53:15 | 29.73 | 35.5 | 769.5
12.12.2025 12:53:17 | 31.86 | 44.8 | 759.8
12.12.2025 12:53:19 | 24.28 | 64.3 | 787.5
12.12.2025 12:53:21 | 29.80 | 51.5 | 773.1
12.12.2025 12:53:23 | 21.07 | 62.5 | 783.4
12.12.2025 12:53:25 | 31.90 | 44.8 | 781.1
12.12.2025 12:53:27 | 24.05 | 60.8 | 786.4
12.12.2025 12:53:29 | 21.60 | 49.8 | 780.8
12.12.2025 12:53:31 | 28.42 | 41.1 | 772.3
12.12.2025 12:53:33 | 29.25 | 63.0 | 779.1
12.12.2025 12:53:35 | 27.25 | 53.6 | 755.6
12.12.2025 12:53:37 | 22.15 | 48.0 | 774.2
12.12.2025 12:53:39 | 20.05 | 41.7 | 760.8
12.12.2025 12:53:41 | 30.07 | 42.0 | 764.1
12.12.2025 12:53:43 | 31.59 | 57.8 | 763.4
12.12.2025 12:53:45 | 25.95 | 49.0 | 761.7
12.12.2025 12:53:47 | 20.20 | 54.8 | 781.5
12.12.2025 12:53:50 | 29.95 | 36.5 | 749.6
12.12.2025 12:53:52 | 30.21 | 39.5 | 751.4
12.12.2025 12:53:54 | 27.29 | 38.2 | 770.8
12.12.2025 12:53:56 | 29.21 | 60.3 | 773.4
12.12.2025 12:53:58 | 27.23 | 36.9 | 755.3
12.12.2025 12:54:00 | 31.55 | 38.5 | 755.1
12.12.2025 12:54:02 | 31.68 | 55.9 | 760.9
12.12.2025 12:54:04 | 23.31 | 53.7 | 774.4
12.12.2025 12:54:06 | 21.00 | 37.1 | 778.9
12.12.2025 12:54:08 | 27.96 | 52.3 | 750.1
12.12.2025 12:54:10 | 25.00 | 35.3 | 750.1
12.12.2025 12:54:12 | 28.75 | 37.0 | 777.1
12.12.2025 12:54:14 | 26.21 | 51.7 | 769.3
12.12.2025 12:54:16 | 30.79 | 45.1 | 782.5
12.12.2025 12:54:18 | 27.86 | 62.4 | 785.9
12.12.2025 12:54:20 | 22.31 | 53.3 | 770.1
12.12.2025 12:54:22 | 21.62 | 60.4 | 750.8
12.12.2025 12:54:24 | 27.69 | 36.2 | 742.8
12.12.2025 12:54:26 | 23.23 | 61.0 | 745.3
12.12.2025 12:54:28 | 23.45 | 48.6 | 778.4
12.12.2025 12:54:30 | 20.51 | 44.1 | 755.5
12.12.2025 12:54:32 | 20.05 | 46.2 | 760.9
12.12.2025 12:54:34 | 28.11 | 53.1 | 755.2
12.12.2025 12:54:36 | 25.98 | 40.3 | 758.1
12.12.2025 12:54:38 | 29.87 | 57.4 | 774.8
12.12.2025 12:54:41 | 25.12 | 41.6 | 769.0
12.12.2025 12:54:43 | 23.04 | 36.1 | 757.8
12.12.2025 12:54:45 | 20.45 | 42.4 | 743.3
12.12.2025 12:54:47 | 23.46 | 59.4 | 749.4
12.12.2025 12:54:49 | 27.50 | 42.7 | 772.8
12.12.2025 12:54:51 | 24.39 | 42.0 | 758.2
12.12.2025 12:54:53 | 26.63 | 42.9 | 784.1
12.12.2025 12:54:55 | 27.39 | 39.4 | 750.1
12.12.2025 12:54:57 | 24.22 | 49.3 | 756.0
12.12.2025 12:54:59 | 25.88 | 35.8 | 750.9
12.12.2025 12:55:01 | 22.83 | 61.0 | 760.6
12.12.2025 12:55:03 | 29.80 | 50.8 | 778.8
12.12.2025 12:55:05 | 21.00 | 38.5 | 778.5
12.12.2025 12:55:07 | 29.92 | 52.0 | 776.5
12.12.2025 12:55:09 | 25.14 | 59.1 | 762.3
12.12.2025 12:55:11 | 26.27 | 58.4 | 753.4
12.12.2025 12:55:13 | 20.81 | 49.5 | 745.5
12.12.2025 12:55:15 | 24.55 | 38.7 | 764.7
12.12.2025 12:55:17 | 24.57 | 60.3 | 764.4
12.12.2025 12:55:19 | 26.29 | 46.4 | 768.8
12.12.2025 12:55:21 | 29.49 | 36.9 | 762.9
12.12.2025 12:55:23 | 24.08 | 59.8 | 751.5
12.12.2025 12:55:25 | 24.27 | 49.6 | 768.9
12.12.2025 12:55:27 | 28.46 | 43.8 | 762.1
12.12.2025 12:55:29 | 24.60 | 37.6 | 751.9
12.12.2025 12:55:31 | 30.34 | 64.3 | 784.0
12.12.2025 12:55:33 | 29.09 | 46.6 | 743.4
12.12.2025 12:55:36 | 30.33 | 60.1 | 745.8
12.12.2025 12:55:38 | 27.94 | 45.9 | 765.2
12.12.2025 12:55:40 | 30.20 | 63.5 | 759.9
12.12.2025 12:55:42 | 22.26 | 53.2 | 753.1
12.12.2025 12:55:44 | 27.19 | 36.1 | 770.4
12.12.2025 12:55:46 | 28.49 | 47.8 | 766.5
12.12.2025 12:55:48 | 23.49 | 38.9 | 772.1
12.12.2025 12:55:50 | 20.28 | 61.5 | 768.2
12.12.2025 12:55:52 | 28.73 | 58.0 | 769.6
12.12.2025 12:55:54 | 28.12 | 37.9 | 760.1
12.12.2025 12:55:56 | 26.35 | 60.9 | 754.5
12.12.2025 12:55:58 | 20.95 | 38.0 | 773.5
12.12.2025 12:56:00 | 31.90 | 51.6 | 778.1
12.12.2025 12:56:02 | 20.54 | 46.3 | 781.9
12.12.2025 12:56:04 | 22.93 | 58.1 | 780.2
12.12.2025 12:56:06 | 23.55 | 50.8 | 777.8
12.12.2025 12:56:08 | 22.38 | 46.8 | 764.0
12.12.2025 12:56:10 | 31.85 | 39.1 | 777.6
12.12.2025 12:56:12 | 21.63 | 58.2 | 778.0
12.12.2025 12:56:14 | 30.90 | 36.8 | 783.9
12.12.2025 12:56:16 | 28.45 | 48.6 | 769.9
12.12.2025 12:56:18 | 22.48 | 38.9 | 749.2
12.12.2025 12:56:20 | 27.85 | 39.8 | 767.2
12.12.2025 12:56:22 | 29.99 | 36.1 | 750.4
12.12.2025 12:56:24 | 28.47 | 48.8 | 778.6
12.12.2025 12:56:26 | 20.66 | 53.3 | 784.2
12.12.2025 12:56:28 | 26.32 | 46.5 | 783.4
12.12.2025 12:56:31 | 21.47 | 56.7 | 751.6
12.12.2025 12:56:33 | 23.32 | 43.5 | 780.7
12.12.2025 12:56:35 | 30.96 | 49.8 | 778.0
12.12.2025 12:56:37 | 24.73 | 57.8 | 771.8
12.12.2025 12:56:39 | 20.65 | 55.7 | 757.8
12.12.2025 12:56:41 | 28.23 | 62.8 | 752.6
12.12.2025 12:56:43 | 31.37 | 59.2 | 778.2
12.12.2025 12:56:45 | 30.70 | 44.1 | 750.3
12.12.2025 12:56:47 | 31.58 | 36.0 | 752.7
12.12.2025 12:56:49 | 26.87 | 42.9 | 758.4
12.12.2025 12:56:51 | 27.78 | 44.8 | 749.0
12.12.2025 12:56:53 | 24.92 | 58.8 | 747.7
12.12.2025 12:56:55 | 21.03 | 47.6 | 754.2
12.12.2025 12:56:57 | 31.13 | 57.2 | 766.5
12.12.2025 12:56:59 | 29.97 | 44.7 | 776.5
12.12.2025 12:57:01 | 23.69 | 62.8 | 759.4
12.12.2025 12:57:03 | 22.45 | 58.1 | 748.6
12.12.2025 12:57:05 | 20.84 | 45.9 | 752.7
12.12.2025 12:57:07 | 29.95 | 49.7 | 747.9
12.12.2025 12:57:09 | 21.88 | 61.1 | 781.9
12.12.2025 12:57:11 | 24.09 | 37.2 | 749.0
12.12.2025 12:57:13 | 24.51 | 45.2 | 772.3
12.12.2025 12:57:15 | 20.28 | 64.5 | 785.3
12.12.2025 12:57:17 | 31.70 | 64.4 | 765.0
12.12.2025 12:57:19 | 27.97 | 52.4 | 776.1
12.12.2025 12:57:21 | 20.68 | 48.0 | 766.0
12.12.2025 12:57:23 | 23.77 | 49.8 | 751.6
12.12.2025 12:57:25 | 28.84 | 51.0 | 758.5
12.12.2025 12:57:27 | 26.70 | 58.9 | 781.8
12.12.2025 12:57:30 | 28.54 | 38.7 | 762.5
12.12.2025 12:57:32 | 25.31 | 49.9 | 769.2
12.12.2025 12:57:34 | 20.84 | 48.8 | 779.6
12.12.2025 12:57:36 | 22.05 | 40.6 | 779.7
12.12.2025 12:57:38 | 23.90 | 52.9 | 771.1
12.12.2025 12:57:40 | 30.39 | 42.6 | 744.7
12.12.2025 12:57:42 | 29.04 | 46.8 | 778.4
12.12.2025 12:57:44 | 30.51 | 46.0 | 742.7
12.12.2025 12:57:46 | 30.65 | 57.0 | 756.3
12.12.2025 12:57:48 | 24.62 | 43.1 | 760.8
12.12.2025 12:57:50 | 31.03 | 49.1 | 758.4
12.12.2025 12:57:52 | 21.82 | 41.3 | 743.2
12.12.2025 12:57:54 | 28.59 | 64.6 | 757.8
12.12.2025 12:57:56 | 21.87 | 52.2 | 744.6
12.12.2025 12:57:58 | 31.67 | 62.8 | 786.7
12.12.2025 12:58:00 | 24.61 | 49.5 | 766.2
12.12.2025 12:58:02 | 27.49 | 55.2 | 765.8
12.12.2025 12:58:04 | 21.20 | 59.2 | 774.9
12.12.2025 12:58:06 | 30.94 | 56.7 | 750.1
12.12.2025 12:58:08 | 27.16 | 53.5 | 758.5
12.12.2025 12:58:10 | 20.64 | 38.1 | 773.6
12.12.2025 12:58:12 | 30.57 | 56.2 | 765.5
12.12.2025 12:58:14 | 25.76 | 38.5 | 744.7
12.12.2025 12:58:16 | 29.18 | 38.5 | 783.1
12.12.2025 12:58:18 | 23.41 | 65.0 | 787.3
12.12.2025 12:58:20 | 22.07 | 54.1 | 770.8
12.12.2025 12:58:22 | 30.30 | 55.0 | 767.6
12.12.2025 12:58:25 | 27.42 | 56.4 | 748.1
12.12.2025 12:58:27 | 26.45 | 37.5 | 766.0
12.12.2025 12:58:29 | 31.06 | 50.4 | 785.5
12.12.2025 12:58:31 | 21.28 | 56.5 | 777.5
12.12.2025 12:58:33 | 20.19 | 53.8 | 784.2
12.12.2025 12:58:35 | 25.64 | 64.4 | 753.3
12.12.2025 12:58:37 | 29.53 | 55.5 | 761.7
12.12.2025 12:58:39 | 25.21 | 64.8 | 746.6
12.12.2025 12:58:41 | 22.07 | 47.0 | 785.8
12.12.2025 12:58:43 | 28.61 | 53.0 | 744.6
12.12.2025 12:58:45 | 30.21 | 39.8 | 786.5
12.12.2025 12:58:47 | 21.07 | 42.0 | 759.8
12.12.2025 12:58:49 | 23.14 | 41.2 | 774.3
12.12.2025 12:58:51 | 26.38 | 41.4 | 787.3
12.12.2025 12:58:53 | 20.89 | 43.9 | 767.1
12.12.2025 12:58:55 | 26.83 | 47.8 | 748.4
12.12.2025 12:58:57 | 25.29 | 59.2 | 784.2
12.12.2025 12:58:59 | 28.57 | 37.8 | 762.7
12.12.2025 12:59:01 | 28.51 | 40.1 | 753.1
12.12.2025 12:59:03 | 22.20 | 45.8 | 763.9
12.12.2025 12:59:05 | 22.92 | 61.8 | 761.5
12.12.2025 12:59:07 | 21.35 | 42.2 | 784.8
12.12.2025 12:59:09 | 21.23 | 37.6 | 767.0
12.12.2025 12:59:11 | 24.08 | 59.3 | 782.2
12.12.2025 12:59:13 | 28.84 | 64.0 | 785.5
12.12.2025 12:59:15 | 20.25 | 48.5 | 773.6
12.12.2025 12:59:17 | 21.97 | 45.6 | 763.2
12.12.2025 12:59:19 | 26.80 | 58.6 | 743.1
12.12.2025 12:59:22 | 28.40 | 54.8 | 756.0
12.12.2025 12:59:24 | 29.60 | 52.1 | 745.6
12.12.2025 12:59:26 | 25.61 | 63.3 | 755.2
12.12.2025 12:59:28 | 21.53 | 47.3 | 784.2
12.12.2025 12:59:30 | 24.03 | 51.8 | 753.5
12.12.2025 12:59:32 | 28.03 | 56.7 | 758.7
12.12.2025 12:59:34 | 27.26 | 36.9 | 760.2
12.12.2025 12:59:36 | 28.98 | 40.4 | 758.4
12.12.2025 12:59:38 | 30.31 | 62.9 | 783.7
12.12.2025 12:59:40 | 20.32 | 43.8 | 780.7
12.12.2025 12:59:42 | 25.62 | 56.3 | 770.6
12.12.2025 12:59:44 | 22.18 | 37.3 | 768.4
12.12.2025 12:59:46 | 21.12 | 44.5 | 779.3
12.12.2025 12:59:48 | 29.42 | 55.4 | 751.5
12.12.2025 12:59:50 | 29.75 | 60.1 | 745.1
12.12.2025 12:59:52 | 22.19 | 62.1 | 744.1
12.12.2025 12:59:54 | 29.73 | 53.9 | 746.8
12.12.2025 12:59:56 | 29.37 | 48.6 | 760.5
12.12.2025 12:59:58 | 24.91 | 36.9 | 781.7
12.12.2025 13:00:00 | 28.87 | 39.6 | 779.9
12.12.2025 13:00:02 | 23.52 | 42.6 | 772.6
12.12.2025 13:00:04 | 31.30 | 40.6 | 765.0
12.12.2025 13:00:06 | 21.82 | 59.6 | 786.0
12.12.2025 13:00:08 | 26.92 | 53.6 | 784.3
12.12.2025 13:00:10 | 30.66 | 55.0 | 746.5
12.12.2025 13:01:03 | 23.04 | 39.1 | 751.6
12.12.2025 13:01:05 | 23.34 | 44.2 | 782.3
12.12.2025 13:01:07 | 29.51 | 56.9 | 754.7
12.12.2025 13:01:09 | 26.65 | 56.5 | 771.0
12.12.2025 13:01:11 | 30.24 | 49.5 | 772.5
12.12.2025 13:01:13 | 28.10 | 53.7 | 749.7
12.12.2025 13:01:15 | 31.38 | 42.8 | 755.2
12.12.2025 13:01:17 | 22.36 | 37.6 | 760.0
12.12.2025 13:01:19 | 31.23 | 55.8 | 764.8
12.12.2025 13:01:21 | 23.84 | 38.3 | 751.8
12.12.2025 13:01:23 | 21.81 | 56.0 | 747.7
12.12.2025 13:01:25 | 22.17 | 60.7 | 757.4
20.12.2025 14:20:09 | 25.37 | 45.6 | 758.4
20.12.2025 14:20:11 | 24.80 | 55.1 | 766.9
20.12.2025 14:20:13 | 31.26 | 52.2 | 787.1
20.12.2025 14:20:15 | 25.96 | 46.6 | 764.2
20.12.2025 14:55:26 | 21.34 | 36.4 | 764.3
20.12.2025 14:55:28 | 20.75 | 62.0 | 751.4
20.12.2025 14:55:30 | 31.74 | 58.4 | 751.8
20.12.2025 14:55:32 | 24.40 | 57.8 | 772.2
20.12.2025 14:55:34 | 28.90 | 62.8 | 745.7
20.12.2025 14:55:36 | 29.69 | 54.1 | 749.0
20.12.2025 14:55:39 | 27.74 | 58.7 | 743.4
20.12.2025 14:55:41 | 21.28 | 56.2 | 757.5
20.12.2025 14:55:43 | 21.78 | 54.6 | 763.1
20.12.2025 14:55:45 | 28.11 | 42.7 | 766.3
20.12.2025 14:55:47 | 24.24 | 51.4 | 786.5
20.12.2025 14:55:49 | 20.98 | 62.5 | 785.2
20.12.2025 14:55:51 | 25.49 | 64.2 | 771.3
